Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
lung,1.0,,,,,,,,,,,,,
subcutaneous,1.0,,,,,,,,,,,,,
greater,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
position.,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
congestion.,1.0,,,,,,,,,,,,,
dextro,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
also,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
as,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
proximal/mid,1.0,,,,,,,,,,,,,
previous,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
overt,1.0,,,,,,,,,,,,,
focal,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
compared,1.0,,,,,,,,,,,,,
hemidiaphragm.,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
aortic,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
superior,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
streaky,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
and/or,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
.,1.0,,,,,,,,,,,,,
mildly,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
"decreased,",1.0,,,,,,,,,,,,,
"low,",1.0,,,,,,,,,,,,,
allowing,1.0,,,,,,,,,,,,,
border,1.0,,,,,,,,,,,,,
interval.,1.0,,,,,,,,,,,,,
angle,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
picc,1.0,,,,,,,,,,,,,1.0
of,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
change.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
"worse,",1.0,,,,,,,,,,,,,
opacity.,,,,,1.0,,,,,,,,,
is,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
limits,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
atelectasis,,,,,,,,,1.0,,,,,
peripherally,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
effusion.,,,,,,,,,,,1.0,,,
could,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
advancement,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
below,1.0,,,,,,,,,,,,,
ap,1.0,,,,,,,,,,,,,
"drain,",1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
and,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
calcified.,,,,,,,,,,,,,,
except,1.0,,,,,,,,,,,,,
lung.,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
its,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
atelectasis.,,,,,,,,,1.0,,,,,
"effusion,",,,,,,,,,,,1.0,,,
diaphragm,1.0,,,,,,,,,,,,,
excluded.,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
border,1.0,,,,,,,,,,,,,
though,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
from,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
than,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
trachea,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
since,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
basilar,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
tube.,1.0,,,,,,,,,,,,,1.0
is,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
this,1.0,,,,,,,,,,,,,
imaged,1.0,,,,,,,,,,,,,
lines,1.0,,,,,,,,,,,,,1.0
small,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
again,1.0,,,,,,,,,,,,,
into,1.0,,,,,,,,,,,,,
exam.,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
ng,1.0,,,,,,,,,,,,,
vasculature,1.0,,,,,,,,,,,,,
least,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
may,1.0,,,,,,,,,,,,,
basilar,1.0,,,,,,,,,,,,,
also,1.0,,,,,,,,,,,,,
cervical,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
effusion,,,,,,,,,,,1.0,,,
enlargement,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
increased,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
appear,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
area.,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
the,1.0,,,,,,,,,,,,,
aorta.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
aspiration,,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
again,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
size,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
unchanged,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
view,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
"opacity,",,,,,1.0,,,,,,,,,
are,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
silhouettes.,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
"enlarged,",1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
volumes.,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
no,1.0,,,,,,,,,,,,,
low.,1.0,,,,,,,,,,,,,
chest,1.0,,,,,,,,,,,,,
not,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
shallow,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
its,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
known,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
thoracic,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
apices,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
artery.,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
subclavian,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
extruded,1.0,,,,,,,,,,,,,
focal,1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
"study,",1.0,,,,,,,,,,,,,
fibrosis,,,,,,,,,,,,1.0,,
lung,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
size,1.0,,,,,,,,,,,,,
"effusion,",,,,,,,,,,,1.0,,,
there,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
new,1.0,,,,,,,,,,,,,
effusion.,,,,,,,,,,,1.0,,,
intact.,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
evaluated,1.0,,,,,,,,,,,,,
bilateral,1.0,,,,,,,,,,,,,
redistribution,1.0,,,,,,,,,,,,,
port-a-cath,1.0,,,,,,,,,,,,,
changed,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
fracture,,,,,,,,,,,,,1.0,
inferior,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
normal.,1.0,,,,,,,,,,,,,
side,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
diaphragm.,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
within,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
tiny,1.0,,,,,,,,,,,,,
basilar,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
severe,1.0,,,,,,,,,,,,,
otherwise,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
opacity,,,,,1.0,,,,,,,,,
opacities,,,,,1.0,,,,,,,,,
right,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
ventricle.,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
compared,1.0,,,,,,,,,,,,,
should,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
mid,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
upright,1.0,,,,,,,,,,,,,
carina.,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
limits.,1.0,,,,,,,,,,,,,
ij,1.0,,,,,,,,,,,,,
basilar,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
"prominent,",,,,,,,,,,,,,,
overlying,1.0,,,,,,,,,,,,,
appears,1.0,,,,,,,,,,,,,
opacity,,,,,1.0,,,,,,,,,
"cardiac,",1.0,,,,,,,,,,,,,
focal,1.0,,,,,,,,,,,,,
for,1.0,,,,,,,,,,,,,
intact,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
no,1.0,,,,,,,,,,,,,
nasogastric,1.0,,,,,,,,,,,,,
worsening,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
"silhouette,",1.0,,,,,,,,,,,,,
opacification,,,,,1.0,,,,,,,,,
the,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
effusions.,,,,,,,,,,,1.0,,,
by,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
ascending,1.0,,,,,,,,,,,,,
mass,,,,1.0,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
vascularity.,1.0,,,,,,,,,,,,,
healed,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
represent,1.0,,,,,,,,,,,,,
tiny,1.0,,,,,,,,,,,,,
view,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
elevation,,,,,,,,,,,,,,
effusions,,,,,,,,,,,1.0,,,
is,1.0,,,,,,,,,,,,,
nasogastric,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
ventricle.,1.0,,,,,,,,,,,,,
mediastinum.,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
tortuous.,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
line,1.0,,,,,,,,,,,,,
unremarkable.,1.0,,,,,,,,,,,,,
right-sided,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
there,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
gastroesophageal,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
worrisome,1.0,,,,,,,,,,,,,
carina.,1.0,,,,,,,,,,,,,
cardiomegaly.,,,1.0,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
and,1.0,,,,,,,,,,,,,
congestion,1.0,,,,,,,,,,,,,
without,1.0,,,,,,,,,,,,,
enteric,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
